,longitude,latitude,total_rooms,total_bedrooms,population,households,median_income,median_house_value,housing_mdian_age
1500,-118.91,35.3,1793.0,358.0,1233.0,351.0,2.7845,82200.0,28.0
1501,-121.95,37.32,1145.0,198.0,431.0,173.0,3.1103,281900.0,20.0
1502,-121.35,38.68,7085.0,1222.0,3455.0,1229.0,4.3118,120000.0,20.0
1503,-121.28,38.76,2901.0,631.0,1276.0,578.0,2.1366,101900.0,47.0
1504,-118.35,33.89,1143.0,299.0,776.0,273.0,4.2829,240000.0,30.0
1505,-121.98,37.97,2714.0,390.0,1232.0,409.0,5.9617,231100.0,26.0
1506,-120.02,38.92,1194.0,246.0,414.0,151.0,3.2396,101900.0,24.0
1507,-122.28,37.77,1468.0,363.0,870.0,347.0,2.9688,220800.0,52.0
1508,-118.06,34.58,1493.0,258.0,899.0,260.0,3.86,109300.0,36.0
1509,-119.02,35.38,90.0,35.0,36.0,31.0,0.8054,60000.0,52.0
1510,-122.43,37.79,6186.0,1566.0,2065.0,1374.0,5.8543,500001.0,52.0
1511,-118.07,33.86,3666.0,562.0,2104.0,579.0,5.6818,338900.0,17.0
1512,-122.3,38.0,1712.0,317.0,956.0,341.0,4.4394,162000.0,34.0
1513,-117.17,33.28,1921.0,312.0,862.0,280.0,5.1786,376800.0,16.0
1514,-117.3,34.14,1454.0,261.0,761.0,248.0,2.3438,88100.0,37.0
1515,-117.71,33.6,1949.0,459.0,602.0,428.0,2.7601,72500.0,25.0
1516,-122.5,37.78,2646.0,607.0,1418.0,563.0,3.7167,332800.0,46.0
1517,-122.72,38.45,1743.0,373.0,780.0,357.0,3.1467,175500.0,41.0
1518,-118.43,34.18,2417.0,510.0,1102.0,507.0,3.8906,282200.0,31.0
1519,-118.03,33.97,2185.0,623.0,1644.0,606.0,2.593,192000.0,22.0
1520,-118.42,33.99,5548.0,1245.0,2847.0,1229.0,4.4228,366900.0,23.0
1521,-118.29,33.96,4022.0,1208.0,3707.0,1007.0,1.3096,116300.0,31.0
1522,-117.98,33.73,4232.0,624.0,2408.0,660.0,6.6539,284900.0,22.0
1523,-121.91,39.14,845.0,155.0,343.0,136.0,2.125,62000.0,45.0
1524,-119.59,36.64,823.0,171.0,798.0,200.0,3.0521,113800.0,27.0
1525,-118.33,34.11,2330.0,434.0,846.0,457.0,8.2335,430200.0,37.0
1526,-120.63,38.75,3145.0,621.0,1432.0,559.0,2.7201,117500.0,17.0
1527,-122.12,37.75,794.0,111.0,329.0,109.0,7.6923,329800.0,28.0
1528,-118.35,33.95,1076.0,213.0,781.0,238.0,3.95,164000.0,45.0
1529,-120.44,34.96,2374.0,562.0,1617.0,463.0,2.6531,108300.0,29.0
1530,-117.08,33.12,107.0,44.0,107.0,48.0,0.7054,137500.0,43.0
1531,-121.27,38.61,6663.0,1369.0,2840.0,1299.0,2.9452,115600.0,17.0
1532,-120.07,36.96,1268.0,283.0,549.0,273.0,1.4511,65200.0,32.0
1533,-117.66,34.06,1405.0,339.0,1489.0,336.0,1.608,91800.0,39.0
1534,-117.06,33.01,2618.0,485.0,726.0,443.0,3.5192,159100.0,24.0
1535,-117.92,33.73,1692.0,293.0,934.0,280.0,4.4728,205800.0,17.0
1536,-117.93,33.92,2271.0,437.0,1393.0,433.0,4.2443,174400.0,34.0
1537,-122.59,38.92,1410.0,329.0,599.0,273.0,2.1953,75000.0,15.0
1538,-118.14,33.84,3002.0,484.0,1322.0,471.0,4.933,228900.0,36.0
1539,-120.79,37.08,97.0,20.0,91.0,22.0,2.9063,55000.0,9.0
1540,-117.6,34.11,6025.0,1062.0,3360.0,1028.0,4.8889,155700.0,18.0
1541,-122.02,37.55,1325.0,274.0,909.0,267.0,4.5687,177200.0,33.0
1542,-118.14,33.97,1161.0,267.0,1175.0,282.0,3.0114,177000.0,31.0
1543,-122.31,37.54,1946.0,407.0,975.0,417.0,4.0726,385400.0,38.0
1544,-122.26,37.83,2432.0,715.0,1377.0,696.0,2.5898,176000.0,52.0
1545,-121.88,37.68,2234.0,270.0,854.0,286.0,7.333,337200.0,23.0
1546,-122.53,37.94,878.0,255.0,384.0,247.0,4.7344,200000.0,18.0
1547,-117.71,33.63,1565.0,274.0,950.0,280.0,5.8399,220600.0,16.0
1548,-120.1,39.19,1480.0,241.0,202.0,80.0,3.9375,213200.0,17.0
1549,-117.77,33.72,2153.0,316.0,954.0,324.0,7.8139,304700.0,9.0
1550,-118.01,33.84,4166.0,713.0,2354.0,709.0,5.1775,213400.0,35.0
1551,-122.19,37.71,361.0,69.0,158.0,58.0,5.5461,262500.0,36.0
1552,-120.36,38.21,4300.0,845.0,1480.0,609.0,2.8208,139900.0,10.0
1553,-117.32,34.03,3853.0,761.0,1685.0,669.0,3.9024,122400.0,13.0
1554,-117.71,34.02,12689.0,2426.0,7343.0,2230.0,3.6361,157700.0,17.0
1555,-118.26,33.91,954.0,241.0,655.0,218.0,2.5882,92800.0,33.0
1556,-121.94,36.58,4911.0,693.0,1480.0,606.0,6.777,500000.0,23.0
1557,-121.76,37.69,3433.0,711.0,1919.0,709.0,3.3841,184400.0,29.0
1558,-121.94,36.55,2722.0,584.0,628.0,384.0,3.4048,487100.0,30.0
1559,-122.64,38.01,1199.0,232.0,551.0,229.0,3.7321,266700.0,36.0
1560,-119.34,36.34,4505.0,834.0,1917.0,775.0,4.0144,126600.0,5.0
1561,-122.06,37.27,1612.0,221.0,567.0,208.0,10.5793,500001.0,16.0
1562,-117.94,33.73,4197.0,718.0,2468.0,714.0,5.2563,211400.0,24.0
1563,-118.44,33.98,18132.0,5419.0,7431.0,4930.0,5.3359,500001.0,21.0
1564,-117.69,34.01,2598.0,573.0,2170.0,518.0,2.3,95600.0,30.0
1565,-117.87,34.15,5745.0,735.0,2061.0,679.0,8.2827,451400.0,24.0
1566,-119.69,36.38,1688.0,302.0,879.0,277.0,3.3214,103100.0,25.0
1567,-122.28,38.0,2335.0,413.0,980.0,417.0,3.4471,178900.0,26.0
1568,-118.33,34.04,1090.0,251.0,955.0,239.0,2.913,192500.0,31.0
1569,-118.17,34.07,1155.0,225.0,814.0,241.0,3.875,148500.0,37.0
1570,-117.95,34.14,3859.0,710.0,2283.0,759.0,4.5594,184500.0,13.0
1571,-118.28,33.79,1895.0,420.0,1422.0,389.0,4.3816,191300.0,28.0
1572,-120.86,37.69,6660.0,1217.0,3012.0,1087.0,3.0809,143600.0,5.0
1573,-120.15,39.17,1684.0,359.0,454.0,209.0,2.9125,145800.0,32.0
1574,-117.05,32.71,3292.0,608.0,2266.0,592.0,3.2986,119200.0,25.0
1575,-121.44,38.52,3446.0,950.0,2460.0,847.0,1.6521,69700.0,36.0
1576,-118.5,34.19,2156.0,509.0,1142.0,470.0,4.0,224700.0,26.0
1577,-121.44,37.76,7264.0,1285.0,3670.0,1146.0,5.0443,194800.0,5.0
1578,-121.95,37.37,446.0,129.0,317.0,127.0,3.0357,208300.0,39.0
1579,-122.43,37.77,2685.0,629.0,1170.0,614.0,3.6894,418800.0,52.0
1580,-118.28,34.01,483.0,190.0,775.0,188.0,2.3309,126600.0,48.0
1581,-118.28,33.84,2326.0,533.0,1697.0,546.0,3.8633,187900.0,27.0
1582,-118.33,34.04,2437.0,443.0,1400.0,426.0,2.628,251100.0,48.0
1583,-118.27,33.95,2073.0,494.0,1753.0,490.0,1.5,93600.0,35.0
1584,-120.42,34.91,6986.0,1217.0,2801.0,1212.0,3.2135,212700.0,4.0
1585,-117.1,32.83,1049.0,154.0,467.0,160.0,6.2047,248100.0,16.0
1586,-121.89,36.89,2774.0,492.0,1283.0,353.0,5.368,352000.0,18.0
1587,-118.22,33.96,1380.0,331.0,1290.0,288.0,2.8,161800.0,42.0
1588,-117.27,33.02,5723.0,1242.0,2450.0,1140.0,4.7179,376700.0,13.0
1589,-121.29,38.68,1881.0,378.0,921.0,360.0,1.8589,144000.0,20.0
1590,-121.95,37.31,2462.0,570.0,1278.0,565.0,3.5652,329500.0,27.0
1591,-118.96,35.37,1463.0,339.0,1066.0,318.0,1.7467,52400.0,41.0
1592,-121.88,36.58,4910.0,871.0,3438.0,904.0,4.0432,450000.0,29.0
1593,-117.25,34.41,3682.0,668.0,1606.0,668.0,2.1875,119700.0,13.0
1594,-118.38,33.77,10950.0,2207.0,4713.0,2043.0,6.3064,418300.0,17.0
1595,-114.55,32.8,2570.0,820.0,1431.0,608.0,1.275,56100.0,19.0
1596,-119.81,34.44,3172.0,588.0,1467.0,559.0,4.6806,288900.0,23.0
1597,-117.12,33.49,21988.0,4055.0,8824.0,3252.0,3.9963,191100.0,4.0
1598,-118.32,33.8,1415.0,298.0,729.0,278.0,3.1648,244800.0,39.0
1599,-122.18,37.73,1391.0,293.0,855.0,285.0,2.5192,76400.0,43.0
1600,-118.1,34.13,2234.0,276.0,749.0,260.0,15.0001,500001.0,47.0
1601,-122.27,40.39,1833.0,422.0,939.0,408.0,1.3571,59000.0,26.0
1602,-121.94,37.73,6719.0,1068.0,2843.0,994.0,6.1265,260300.0,22.0
1603,-121.29,38.63,2868.0,527.0,1284.0,487.0,3.3182,213000.0,24.0
1604,-117.59,33.44,5813.0,1264.0,2363.0,1041.0,4.3897,341300.0,3.0
1605,-118.44,34.19,1599.0,459.0,1143.0,438.0,2.4583,199100.0,29.0
1606,-118.15,34.03,1481.0,411.0,1206.0,394.0,2.6806,189300.0,42.0
1607,-116.48,33.8,3004.0,615.0,437.0,210.0,3.6667,90000.0,15.0
1608,-118.41,33.98,3331.0,777.0,1695.0,735.0,3.9727,307200.0,33.0
1609,-121.05,37.65,3096.0,545.0,1760.0,519.0,4.5701,146400.0,5.0
1610,-122.42,37.8,2494.0,731.0,958.0,712.0,3.2356,500001.0,50.0
1611,-117.31,34.11,1208.0,321.0,1225.0,317.0,1.4663,64000.0,38.0
1612,-116.99,32.76,3833.0,595.0,1645.0,589.0,4.625,273500.0,21.0
1613,-122.11,37.89,2372.0,516.0,1067.0,492.0,4.3235,279500.0,32.0
1614,-122.27,37.8,105.0,42.0,125.0,39.0,0.9722,137500.0,10.0
1615,-121.87,37.38,3275.0,529.0,1863.0,527.0,5.5429,269100.0,16.0
1616,-118.2,33.77,1118.0,437.0,1190.0,399.0,1.9797,143800.0,22.0
1617,-117.12,32.57,1450.0,256.0,930.0,286.0,2.6715,133300.0,35.0
1618,-118.33,34.0,1114.0,169.0,486.0,176.0,4.2917,247600.0,52.0
1619,-117.17,32.82,2869.0,596.0,1471.0,577.0,3.0375,197600.0,21.0
1620,-120.36,40.45,689.0,143.0,355.0,127.0,1.7333,70000.0,19.0
1621,-116.52,33.81,12396.0,2552.0,2548.0,1265.0,3.4394,162200.0,12.0
1622,-119.82,36.77,1441.0,274.0,646.0,296.0,3.0568,71300.0,41.0
1623,-118.35,33.87,2319.0,579.0,1369.0,564.0,3.6169,257000.0,28.0
1624,-117.34,34.49,3293.0,585.0,1678.0,530.0,3.2941,98300.0,9.0
1625,-118.55,34.17,2127.0,297.0,761.0,274.0,7.8392,500001.0,36.0
1626,-122.11,38.09,673.0,145.0,318.0,137.0,2.3929,122500.0,11.0
1627,-122.26,37.56,7283.0,1342.0,3399.0,1298.0,5.6683,391000.0,23.0
1628,-121.35,38.66,3313.0,769.0,1631.0,681.0,2.5556,105700.0,24.0
1629,-118.21,34.04,845.0,249.0,881.0,252.0,2.2454,165000.0,37.0
1630,-118.34,34.07,3421.0,598.0,1203.0,564.0,4.1618,500001.0,52.0
1631,-117.88,34.13,2559.0,654.0,1674.0,623.0,2.8547,155600.0,25.0
1632,-117.87,33.84,1678.0,369.0,912.0,347.0,4.5,237300.0,23.0
1633,-117.34,34.08,4924.0,1007.0,3502.0,953.0,3.233,99400.0,33.0
1634,-118.33,34.02,1249.0,313.0,625.0,336.0,0.8702,170500.0,11.0
1635,-118.33,33.79,4389.0,873.0,2069.0,901.0,4.1071,365600.0,29.0
1636,-119.29,35.76,3938.0,789.0,3500.0,768.0,2.1295,59800.0,15.0
1637,-117.09,32.62,1538.0,298.0,867.0,285.0,3.0729,128700.0,37.0
1638,-121.81,37.25,1975.0,520.0,861.0,440.0,4.4565,159000.0,5.0
1639,-120.29,37.94,1459.0,297.0,753.0,271.0,3.05,144800.0,17.0
1640,-120.7,35.14,5805.0,1097.0,1919.0,932.0,3.5352,357800.0,17.0
1641,-118.17,34.06,871.0,201.0,2862.0,181.0,2.1845,123800.0,36.0
1642,-117.99,33.93,3708.0,718.0,1921.0,721.0,4.375,210400.0,27.0
1643,-118.25,34.22,2062.0,396.0,1089.0,375.0,5.5362,301200.0,30.0
1644,-118.11,33.83,1820.0,313.0,899.0,295.0,4.918,225200.0,36.0
